"","geo_value","time_value","part_work_prop_7d","part_work_sample_size","full_work_prop_7d","full_work_sample_size","full_work_std","res_visit_by_pop","bar_visit_by_pop"
"15896","39111",2020-07-20,0.0711112054663588,112,0.0434816958927642,112,0.00255653851128623,NA,NA
"15897","39113",2020-07-20,0.0671921391609434,2912,0.0399286029920619,2912,0.000532083103610878,395.177700149912,36.1545515571649
"15898","39115",2020-07-20,0.0809457882707665,105,0.049892800872192,105,0.00333100294263563,156.036668617125,77.2541662068204
"15899","39117",2020-07-20,0.0777932220262218,161,0.0407477920138379,161,0.00206828371231614,43.3575005364465,NA
"15900","39119",2020-07-20,0.0769231464719995,525,0.0383022871061543,525,0.00119838366995471,485.235048244306,NA
"15901","39121",2020-07-20,0.0830484199664991,84,0.041799254744784,84,0.00332279907974464,NA,77.2541662068204
"15902","39123",2020-07-20,0.0810042155014663,301,0.0402263983211592,301,0.00171590997262722,76.879970468778,NA
"15903","39125",2020-07-20,0.0695565094278739,119,0.0380949477407619,119,0.00254448848730608,200.495038404017,NA
"15904","39127",2020-07-20,0.0720183330157622,196,0.041428475182758,196,0.00213368156353642,94.2756826472174,NA
"15905","39129",2020-07-20,0.08117454423372,252,0.0427891779893378,252,0.00190784617413889,196.108910868364,NA
"15906","39131",2020-07-20,0.0771648846059829,154,0.0353858209190721,154,0.00196820680668108,199.790958988117,NA
"15907","39133",2020-07-20,0.0696776534795452,699,0.0409198236619754,699,0.00117884240505407,190.949697509379,NA
"15908","39135",2020-07-20,0.0804106144035317,238,0.0371607380156782,238,0.0017062947358419,416.039333761736,NA
"15909","39137",2020-07-20,0.0839854398558153,189,0.0397445903058584,189,0.00215544357578909,86.8139288125784,NA
"15910","39139",2020-07-20,0.0691388510466393,665,0.0367512560031671,665,0.00107107536315865,271.094757284913,NA
"15911","39141",2020-07-20,0.0771098189410435,434,0.0390696061829968,434,0.0013255785561992,588.41439515541,NA
"15912","39143",2020-07-20,0.0749431195628716,413,0.0390538695031736,413,0.00128911913856527,174.396358635597,NA
"15913","39145",2020-07-20,0.0792081186747311,511,0.041573966035868,511,0.00127226538545402,245.705926661758,NA
"15914","39147",2020-07-20,0.0767548830848972,399,0.0390354599126016,399,0.00151357603343641,76.6511303631966,NA
"15915","39149",2020-07-20,0.0860199270022738,273,0.0361233899306043,273,0.00153457819773039,351.16432993415,NA
"15916","39151",2020-07-20,0.0724447688161146,1932,0.0395338266380911,1932,0.000655956851859448,303.484406335229,16.9606512890095
"15917","39153",2020-07-20,0.0681726253357664,3157,0.041014670219895,3157,0.000557274061938513,174.337277133142,74.4626840412929
"15918","39155",2020-07-20,0.0677785695378128,1351,0.0415050377569892,1351,0.000821898459007039,175.818068033416,NA
"15919","39157",2020-07-20,0.0824147283332446,539,0.0404725574371329,539,0.00127656735457841,316.003994527519,NA
"15920","39159",2020-07-20,0.0739906705414781,203,0.0358608286756129,203,0.00158442247428585,470.817718419477,NA
"15921","39161",2020-07-20,0.0869840459375244,196,0.0403234578473322,196,0.00210660370457372,71.0233334722486,NA
"15922","39163",2020-07-20,0.0706783737411143,84,0.04292093742989,84,0.00296701782857455,169.100494888029,NA
"15923","39165",2020-07-20,0.0762128594647227,756,0.0376924412912062,756,0.0009265728485021,439.162665878539,3.58159775075661
"15924","39167",2020-07-20,0.0745730140870431,329,0.0426242128060784,329,0.00152283844191507,196.748189643394,70.5140100204119
"15925","39169",2020-07-20,0.0776271679208621,581,0.0399655899614181,581,0.00118318810658591,248.398816083702,NA
