,schnam,leaid,gslo,gshi,openEnroll,level,MultiBdy,COUNTY,ENROLLMENT_x,DistrictName,PhysicalCity,Enrollment_1_x,DATE,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeachin_55,LastVerifiedDate,OpenDateGrouped,Enrollment_1_y,ENROLLMENT_y,district_enroll,county_enroll
49,Akron Opportunity Center,3904348,,,1.0,,0,SUMMIT,,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
50,Akron Early College High School,3904348,9,12,0.0,3.0,0,SUMMIT,384.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
51,National Inventors Hall of Fame School Center for STEM,3904348,5,8,0.0,2.0,0,SUMMIT,388.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
52,Akron STEM High School,3904348,9,12,0.0,3.0,0,SUMMIT,329.0,Akron Public Schools,Akron,21579.0,2020-09-09,Online Only,Yes,Yes,Yes,No,Required for all staff,Required for all students,Unknown,Yes,Never closed,No,2021-01-14,2020-09-09,21579.0,20764.0,21579.0,66890.0
53,Alliance High School,3904349,9,12,0.0,3.0,0,STARK,981.0,Alliance City School District,Alliance,3106.0,2020-08-24,On Premises,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-14,2020-08-26,3106.0,3088.0,3106.0,59856.0
54,Parkway Elementary School,3904349,1,3,0.0,1.0,0,STARK,286.0,Alliance City School District,Alliance,3106.0,2020-08-24,On Premises,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-14,2020-08-26,3106.0,3088.0,3106.0,59856.0
55,Alliance Early Learning School at South Lincoln,3904349,PK,1,0.0,1.0,0,STARK,429.0,Alliance City School District,Alliance,3106.0,2020-08-24,On Premises,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-14,2020-08-26,3106.0,3088.0,3106.0,59856.0
56,Alliance Middle School,3904349,6,8,0.0,2.0,0,STARK,650.0,Alliance City School District,Alliance,3106.0,2020-08-24,On Premises,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-14,2020-08-26,3106.0,3088.0,3106.0,59856.0
57,Northside Intermediate School,3904349,3,5,0.0,1.0,0,STARK,431.0,Alliance City School District,Alliance,3106.0,2020-08-24,On Premises,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-14,2020-08-26,3106.0,3088.0,3106.0,59856.0
58,Rockhill Elementary School,3904349,1,5,0.0,1.0,0,STARK,311.0,Alliance City School District,Alliance,3106.0,2020-08-24,On Premises,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-14,2020-08-26,3106.0,3088.0,3106.0,59856.0
59,Ashland High School,3904350,9,12,0.0,3.0,0,ASHLAND,959.0,Ashland City School District,Ashland,3365.0,2020-09-08,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,2020-10-15,2020-09-09,3365.0,3260.0,3365.0,7452.0
60,Ashland Middle School,3904350,6,8,0.0,2.0,0,ASHLAND,726.0,Ashland City School District,Ashland,3365.0,2020-09-08,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,2020-10-15,2020-09-09,3365.0,3260.0,3365.0,7452.0
61,Edison Elementary School,3904350,KG,3,0.0,1.0,0,ASHLAND,460.0,Ashland City School District,Ashland,3365.0,2020-09-08,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Yes,2020-10-15,2020-09-09,3365.0,3260.0,3365.0,7452.0
