,schnam,leaid,gslo,gshi,openEnroll,level,MultiBdy,COUNTY,ENROLLMENT_x,DistrictName,PhysicalCity,Enrollment_1_x,DATE,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeachin_55,LastVerifiedDate,OpenDateGrouped,Enrollment_1_y,ENROLLMENT_y,district_enroll,county_enroll
2044,Jackson-Milton Elementary School,3904832,KG,6,0.0,1.0,0,MAHONING,410.0,Jackson-Milton Local District,North Jackson,798.0,2020-09-09,On Premises,Yes,Unknown,Unknown,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-06,2020-09-09,798.0,718.0,798.0,23873.0
2045,Jackson-Milton Middle School,3904832,7,8,0.0,2.0,0,MAHONING,124.0,Jackson-Milton Local District,North Jackson,798.0,2020-09-09,On Premises,Yes,Unknown,Unknown,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-06,2020-09-09,798.0,718.0,798.0,23873.0
2046,Lowellville Elementary School,3904833,KG,6,0.0,1.0,0,MAHONING,263.0,Lowellville School District,Lowellville,585.0,2020-08-24,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-29,2020-08-26,585.0,525.0,585.0,23873.0
2047,Lowellville High School,3904833,7,12,0.0,3.0,0,MAHONING,262.0,Lowellville School District,Lowellville,585.0,2020-08-24,Hybrid,Yes,Unknown,Unknown,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-29,2020-08-26,585.0,525.0,585.0,23873.0
2048,Dobbins Elementary School,3904834,3,4,0.0,1.0,0,MAHONING,271.0,Poland Local School District,Poland,2224.0,2020-09-08,Hybrid,Yes,Yes,Pending,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2021-01-21,2020-09-09,2224.0,1834.0,2224.0,23873.0
2049,Poland Middle School,3904834,7,8,0.0,2.0,0,MAHONING,296.0,Poland Local School District,Poland,2224.0,2020-09-08,Hybrid,Yes,Yes,Pending,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2021-01-21,2020-09-09,2224.0,1834.0,2224.0,23873.0
2050,Mckinley Elementary School,3904834,5,6,0.0,2.0,0,MAHONING,256.0,Poland Local School District,Poland,2224.0,2020-09-08,Hybrid,Yes,Yes,Pending,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2021-01-21,2020-09-09,2224.0,1834.0,2224.0,23873.0
2051,Poland Seminary High School,3904834,9,12,0.0,3.0,0,MAHONING,655.0,Poland Local School District,Poland,2224.0,2020-09-08,Hybrid,Yes,Yes,Pending,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2021-01-21,2020-09-09,2224.0,1834.0,2224.0,23873.0
2052,Poland Union Elementary School,3904834,KG,2,0.0,1.0,0,MAHONING,356.0,Poland Local School District,Poland,2224.0,2020-09-08,Hybrid,Yes,Yes,Pending,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2021-01-21,2020-09-09,2224.0,1834.0,2224.0,23873.0
2053,B L Miller Elementary School,3904835,KG,6,0.0,1.0,0,MAHONING,238.0,Sebring Local School District,Sebring,430.0,2020-08-24,Hybrid,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-29,2020-08-26,430.0,467.0,467.0,23873.0
2054,Mckinley High School,3904835,4,12,0.0,4.0,0,MAHONING,229.0,Sebring Local School District,Sebring,430.0,2020-08-24,Hybrid,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-29,2020-08-26,430.0,467.0,467.0,23873.0
2055,South Range Elementary School,3904836,PK,4,0.0,1.0,0,MAHONING,454.0,South Range Local School District,Canfield,1269.0,2020-09-09,Online Only,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-16,2020-09-09,1269.0,1278.0,1278.0,23873.0
2056,South Range High School,3904836,9,12,0.0,3.0,0,MAHONING,432.0,South Range Local School District,Canfield,1269.0,2020-09-09,Online Only,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-16,2020-09-09,1269.0,1278.0,1278.0,23873.0
2057,South Range Middle School,3904836,5,8,0.0,2.0,0,MAHONING,392.0,South Range Local School District,Canfield,1269.0,2020-09-09,Online Only,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-10-16,2020-09-09,1269.0,1278.0,1278.0,23873.0
2058,Springfield Elementary School,3904837,KG,4,0.0,1.0,0,MAHONING,388.0,Springfield Local School District,New Middletown,1032.0,2020-09-09,Hybrid,Yes,No,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-11-12,2020-09-09,1032.0,1009.0,1032.0,23873.0
2059,Springfield High School,3904837,9,12,0.0,3.0,0,MAHONING,307.0,Springfield Local School District,New Middletown,1032.0,2020-09-09,Hybrid,Yes,No,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-11-12,2020-09-09,1032.0,1009.0,1032.0,23873.0
2060,Springfield Intermediate Middle School,3904837,5,8,0.0,2.0,0,MAHONING,314.0,Springfield Local School District,New Middletown,1032.0,2020-09-09,Hybrid,Yes,No,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-11-12,2020-09-09,1032.0,1009.0,1032.0,23873.0
2061,Damascus Elementary,3904838,KG,4,0.0,1.0,0,MAHONING,391.0,West Branch Local School District,Beloit,2269.0,2020-09-09,Online Only,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-12-18,2020-09-09,2269.0,1724.0,2269.0,23873.0
2062,West Branch Middle School,3904838,5,8,0.0,2.0,0,MAHONING,721.0,West Branch Local School District,Beloit,2269.0,2020-09-09,Online Only,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-12-18,2020-09-09,2269.0,1724.0,2269.0,23873.0
2063,West Branch High School,3904838,9,12,0.0,3.0,0,MAHONING,612.0,West Branch Local School District,Beloit,2269.0,2020-09-09,Online Only,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-12-18,2020-09-09,2269.0,1724.0,2269.0,23873.0
2064,Knox Elementary School,3904838,KG,4,0.0,1.0,0,COLUMBIANA,334.0,West Branch Local School District,Beloit,2269.0,2020-09-09,Online Only,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2020-12-18,2020-09-09,2269.0,334.0,2269.0,17041.0
2065,Western Reserve Middle School,3904839,6,8,0.0,2.0,0,MAHONING,170.0,Western Reserve Local School District,Berlin Center,698.0,2020-09-09,Hybrid,Yes,No,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Unknown,2020-12-17,2020-09-09,698.0,672.0,698.0,23873.0
2066,Western Reserve Elementary School,3904839,KG,5,0.0,1.0,0,MAHONING,262.0,Western Reserve Local School District,Berlin Center,698.0,2020-09-09,Hybrid,Yes,No,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Unknown,2020-12-17,2020-09-09,698.0,672.0,698.0,23873.0
2067,Western Reserve High School,3904839,9,12,0.0,3.0,0,MAHONING,240.0,Western Reserve Local School District,Berlin Center,698.0,2020-09-09,Hybrid,Yes,No,Unknown,Unknown,Required for all staff,Required for all students,Unknown,Unknown,Never closed,Unknown,2020-12-17,2020-09-09,698.0,672.0,698.0,23873.0
2068,Elgin High School,3904841,9,12,0.0,3.0,0,MARION,296.0,Elgin Local School District,Marion,1120.0,2020-09-21,Hybrid,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-06,2020-10-20,1120.0,989.0,1120.0,10031.0
2069,Elgin Middle School,3904841,6,8,0.0,2.0,0,MARION,219.0,Elgin Local School District,Marion,1120.0,2020-09-21,Hybrid,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-06,2020-10-20,1120.0,989.0,1120.0,10031.0
2070,Elgin Elementary School,3904841,KG,5,0.0,1.0,0,MARION,474.0,Elgin Local School District,Marion,1120.0,2020-09-21,Hybrid,Yes,Yes,Yes,No,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-06,2020-10-20,1120.0,989.0,1120.0,10031.0
2071,Pleasant Elementary School,3904842,1,5,0.0,1.0,0,MARION,499.0,Pleasant Local School District,Marion,1420.0,2020-08-31,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,2020-11-06,2020-09-02,1420.0,1180.0,1420.0,10031.0
2072,Pleasant Middle School,3904842,6,8,0.0,2.0,0,MARION,297.0,Pleasant Local School District,Marion,1420.0,2020-08-31,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,2020-11-06,2020-09-02,1420.0,1180.0,1420.0,10031.0
2073,Pleasant High School,3904842,9,12,0.0,3.0,0,MARION,384.0,Pleasant Local School District,Marion,1420.0,2020-08-31,Hybrid,Yes,No,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,2020-11-06,2020-09-02,1420.0,1180.0,1420.0,10031.0
2074,Ridgedale Jr/Sr High School,3904843,6,12,0.0,4.0,0,MARION,358.0,Ridgedale Local School District,Morral,725.0,2020-08-31,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2021-01-08,2020-09-02,725.0,673.0,725.0,10031.0
2075,Ridgedale Elementary School,3904843,KG,5,0.0,1.0,0,MARION,315.0,Ridgedale Local School District,Morral,725.0,2020-08-31,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Closed indefinitely,Yes,2021-01-08,2020-09-02,725.0,673.0,725.0,10031.0
2076,Liberty Elementary School,3904844,PK,5,0.0,1.0,0,MARION,399.0,River Valley Local School District,Caledonia,1985.0,2020-09-01,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,2020-10-06,2020-09-02,1985.0,1941.0,1985.0,10031.0
2077,River Valley High School,3904844,9,12,0.0,3.0,0,MARION,553.0,River Valley Local School District,Caledonia,1985.0,2020-09-01,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,2020-10-06,2020-09-02,1985.0,1941.0,1985.0,10031.0
2078,River Valley Middle School,3904844,6,8,0.0,2.0,0,MARION,492.0,River Valley Local School District,Caledonia,1985.0,2020-09-01,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,2020-10-06,2020-09-02,1985.0,1941.0,1985.0,10031.0
2079,Heritage Elementary School,3904844,KG,5,0.0,1.0,0,MARION,497.0,River Valley Local School District,Caledonia,1985.0,2020-09-01,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Unknown,Never closed,Yes,2020-10-06,2020-09-02,1985.0,1941.0,1985.0,10031.0
2080,Black River High School,3904846,9,12,0.0,3.0,0,ASHLAND,329.0,Black River Local School District,Sullivan,1218.0,2020-09-08,Hybrid,Yes,Unknown,No,Yes,Required for all staff,Pending,Yes,Yes,Never closed,Yes,2021-01-05,2020-09-09,1218.0,1132.0,1218.0,7452.0
2081,Black River Education Center Middle School,3904846,6,8,0.0,2.0,0,ASHLAND,269.0,Black River Local School District,Sullivan,1218.0,2020-09-08,Hybrid,Yes,Unknown,No,Yes,Required for all staff,Pending,Yes,Yes,Never closed,Yes,2021-01-05,2020-09-09,1218.0,1132.0,1218.0,7452.0
2082,Black River Education Center Elementary School,3904846,PK,5,0.0,1.0,0,ASHLAND,534.0,Black River Local School District,Sullivan,1218.0,2020-09-08,Hybrid,Yes,Unknown,No,Yes,Required for all staff,Pending,Yes,Yes,Never closed,Yes,2021-01-05,2020-09-09,1218.0,1132.0,1218.0,7452.0
2083,Buckeye High School,3904847,9,12,0.0,3.0,0,MEDINA,716.0,Buckeye Local School District,Medina,2542.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,2542.0,2324.0,2542.0,28109.0
2084,Buckeye Junior High School,3904847,7,8,0.0,2.0,0,MEDINA,366.0,Buckeye Local School District,Medina,2542.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,2542.0,2324.0,2542.0,28109.0
2085,Buckeye Intermediate School,3904847,4,6,0.0,2.0,0,MEDINA,630.0,Buckeye Local School District,Medina,2542.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,2542.0,2324.0,2542.0,28109.0
2086,Buckeye  Primary School,3904847,KG,3,0.0,1.0,0,MEDINA,612.0,Buckeye Local School District,Medina,2542.0,,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,,,2542.0,2324.0,2542.0,28109.0
2087,Cloverleaf High School,3904848,8,12,0.0,3.0,0,MEDINA,701.0,Cloverleaf Local School District,Lodi,2600.0,2020-09-08,Hybrid,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Pending,Pending,Yes,2020-10-07,2020-09-09,2600.0,2335.0,2600.0,28109.0
2088,Cloverleaf Middle School,3904848,5,8,0.0,2.0,0,MEDINA,557.0,Cloverleaf Local School District,Lodi,2600.0,2020-09-08,Hybrid,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Pending,Pending,Yes,2020-10-07,2020-09-09,2600.0,2335.0,2600.0,28109.0
2089,Cloverleaf Elementary School,3904848,PK,5,0.0,1.0,0,MEDINA,1077.0,Cloverleaf Local School District,Lodi,2600.0,2020-09-08,Hybrid,Yes,Yes,Unknown,Unknown,Required for all staff,Required for all students,Yes,Pending,Pending,Yes,2020-10-07,2020-09-09,2600.0,2335.0,2600.0,28109.0
2090,Highland High School,3904849,9,12,0.0,3.0,0,MEDINA,1026.0,Highland Local School District,Medina,3396.0,2020-09-14,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-10-15,2020-09-14,3396.0,3171.0,3396.0,28109.0
2091,Highland Middle School,3904849,6,8,0.0,2.0,0,MEDINA,761.0,Highland Local School District,Medina,3396.0,2020-09-14,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-10-15,2020-09-14,3396.0,3171.0,3396.0,28109.0
2092,Hinckley Elementary School,3904849,KG,5,0.0,1.0,0,MEDINA,408.0,Highland Local School District,Medina,3396.0,2020-09-14,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-10-15,2020-09-14,3396.0,3171.0,3396.0,28109.0
2093,Sharon Elementary School,3904849,KG,5,0.0,1.0,0,MEDINA,508.0,Highland Local School District,Medina,3396.0,2020-09-14,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-10-15,2020-09-14,3396.0,3171.0,3396.0,28109.0
2094,Granger Elementary School,3904849,PK,5,0.0,1.0,0,MEDINA,468.0,Highland Local School District,Medina,3396.0,2020-09-14,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-10-15,2020-09-14,3396.0,3171.0,3396.0,28109.0
2095,Eastern Elementary School,3904851,KG,8,0.0,1.0,0,MEIGS,555.0,Eastern Local School District,Reedsville,883.0,2020-09-08,On Premises,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-11-11,2020-09-09,883.0,806.0,883.0,3388.0
2096,Eastern High School,3904851,9,12,0.0,3.0,0,MEIGS,251.0,Eastern Local School District,Reedsville,883.0,2020-09-08,On Premises,Yes,Yes,No,Yes,Required for all staff,Required for all students,Yes,Yes,Unknown,Yes,2020-11-11,2020-09-09,883.0,806.0,883.0,3388.0
2097,Meigs High School,3904852,9,12,0.0,3.0,0,MEIGS,556.0,Meigs Local School District,Pomeroy,1715.0,2020-09-08,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-29,2020-09-09,1715.0,1744.0,1744.0,3388.0
2098,Meigs Middle School,3904852,6,8,0.0,2.0,0,MEIGS,398.0,Meigs Local School District,Pomeroy,1715.0,2020-09-08,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-29,2020-09-09,1715.0,1744.0,1744.0,3388.0
2099,Meigs Primary School,3904852,PK,2,0.0,1.0,0,MEIGS,389.0,Meigs Local School District,Pomeroy,1715.0,2020-09-08,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-29,2020-09-09,1715.0,1744.0,1744.0,3388.0
2100,Meigs Intermediate School,3904852,3,5,0.0,1.0,0,MEIGS,401.0,Meigs Local School District,Pomeroy,1715.0,2020-09-08,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-29,2020-09-09,1715.0,1744.0,1744.0,3388.0
2101,Southern High School,3904853,9,12,0.0,3.0,0,MEIGS,208.0,Southern Local School District,Racine,703.0,2020-09-08,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2021-01-08,2020-09-09,703.0,761.0,761.0,3388.0
2102,Southern Elementary School,3904853,PK,8,0.0,1.0,0,MEIGS,553.0,Southern Local School District,Racine,703.0,2020-09-08,Hybrid,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2021-01-08,2020-09-09,703.0,761.0,761.0,3388.0
2103,Parkway Elementary School,3904857,PK,4,0.0,1.0,0,MERCER,422.0,Parkway Local School District,Rockford,1083.0,2020-08-24,On Premises,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-06,2020-08-26,1083.0,1011.0,1083.0,7906.0
2104,Parkway Middle School,3904857,5,8,0.0,2.0,0,MERCER,322.0,Parkway Local School District,Rockford,1083.0,2020-08-24,On Premises,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-06,2020-08-26,1083.0,1011.0,1083.0,7906.0
2105,Parkway High School,3904857,9,12,0.0,3.0,0,MERCER,267.0,Parkway Local School District,Rockford,1083.0,2020-08-24,On Premises,Yes,Pending,Pending,Pending,Required for all staff,Required for all students,Unknown,Yes,Never closed,Yes,2020-10-06,2020-08-26,1083.0,1011.0,1083.0,7906.0
2106,St Henry High School,3904858,9,12,0.0,3.0,0,MERCER,304.0,Saint Henry Consolidated Local Schl Dist,Saint Henry,940.0,2020-08-26,On Premises,Yes,Unknown,Unknown,Unknown,Not required,Not required,Yes,Yes,Never closed,Yes,2021-01-13,2020-08-26,940.0,993.0,993.0,7906.0
2107,St Henry Elementary School,3904858,KG,4,0.0,1.0,0,MERCER,400.0,Saint Henry Consolidated Local Schl Dist,Saint Henry,940.0,2020-08-26,On Premises,Yes,Unknown,Unknown,Unknown,Not required,Not required,Yes,Yes,Never closed,Yes,2021-01-13,2020-08-26,940.0,993.0,993.0,7906.0
2108,St Henry Middle School,3904858,5,8,0.0,2.0,0,MERCER,289.0,Saint Henry Consolidated Local Schl Dist,Saint Henry,940.0,2020-08-26,On Premises,Yes,Unknown,Unknown,Unknown,Not required,Not required,Yes,Yes,Never closed,Yes,2021-01-13,2020-08-26,940.0,993.0,993.0,7906.0
2109,Fort Recovery Middle School,3904859,6,8,0.0,2.0,0,MERCER,232.0,Fort Recovery Local Schools,Fort Recovery,917.0,2020-08-25,On Premises,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-09-25,2020-08-26,917.0,1005.0,1005.0,7906.0
2110,Fort Recovery High School,3904859,9,12,0.0,3.0,0,MERCER,290.0,Fort Recovery Local Schools,Fort Recovery,917.0,2020-08-25,On Premises,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-09-25,2020-08-26,917.0,1005.0,1005.0,7906.0
2111,Fort Recovery Elementary School,3904859,PK,5,0.0,1.0,0,MERCER,483.0,Fort Recovery Local Schools,Fort Recovery,917.0,2020-08-25,On Premises,Yes,Unknown,Unknown,Unknown,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2020-09-25,2020-08-26,917.0,1005.0,1005.0,7906.0
2112,Bethel Elementary School,3904861,PK,5,0.0,1.0,0,MIAMI,662.0,Bethel Local School District,Tipp City,1470.0,2020-08-25,Hybrid,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,2021-01-08,2020-08-26,1470.0,1329.0,1470.0,12826.0
2113,Bethel High School,3904861,9,12,0.0,3.0,0,MIAMI,367.0,Bethel Local School District,Tipp City,1470.0,2020-08-25,Hybrid,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,2021-01-08,2020-08-26,1470.0,1329.0,1470.0,12826.0
2114,Bethel Middle School,3904861,6,8,0.0,2.0,0,MIAMI,300.0,Bethel Local School District,Tipp City,1470.0,2020-08-25,Hybrid,Yes,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Pending,Yes,2021-01-08,2020-08-26,1470.0,1329.0,1470.0,12826.0
2115,Miami East Elementary,3904862,KG,5,0.0,1.0,0,MIAMI,623.0,Miami East Local School District,Casstown,1288.0,2020-08-26,On Premises,Yes,Unknown,Unknown,Unknown,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,2021-01-07,2020-08-26,1288.0,1338.0,1338.0,12826.0
2116,Miami East Junior High School,3904862,6,8,0.0,2.0,0,MIAMI,330.0,Miami East Local School District,Casstown,1288.0,2020-08-26,On Premises,Yes,Unknown,Unknown,Unknown,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,2021-01-07,2020-08-26,1288.0,1338.0,1338.0,12826.0
2117,Miami East High School,3904862,9,12,0.0,3.0,0,MIAMI,385.0,Miami East Local School District,Casstown,1288.0,2020-08-26,On Premises,Yes,Unknown,Unknown,Unknown,Required for all staff,Unknown,Yes,Yes,Never closed,Yes,2021-01-07,2020-08-26,1288.0,1338.0,1338.0,12826.0
2118,Newton Elementary School,3904863,KG,6,0.0,1.0,0,MIAMI,329.0,Newton Local School District,Pleasant Hill,593.0,2020-08-25,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Unknown,2020-10-30,2020-08-26,593.0,606.0,606.0,12826.0
2119,Newton High School,3904863,7,12,0.0,3.0,0,MIAMI,277.0,Newton Local School District,Pleasant Hill,593.0,2020-08-25,Hybrid,Unknown,Yes,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Never closed,Unknown,2020-10-30,2020-08-26,593.0,606.0,606.0,12826.0
2120,Beallsville Elementary School,3904865,PK,6,0.0,1.0,0,MONROE,192.0,Switzerland of Ohio Local School Dist,Woodsfield,2374.0,2020-09-08,Other,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed 6-14 days,Yes,2021-01-07,2020-09-09,2374.0,1832.0,2374.0,2374.0
2121,Beallsville High School,3904865,7,12,0.0,3.0,0,MONROE,128.0,Switzerland of Ohio Local School Dist,Woodsfield,2374.0,2020-09-08,Other,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed 6-14 days,Yes,2021-01-07,2020-09-09,2374.0,1832.0,2374.0,2374.0
2122,River Elementary School,3904865,PK,8,0.0,1.0,0,MONROE,403.0,Switzerland of Ohio Local School Dist,Woodsfield,2374.0,2020-09-08,Other,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed 6-14 days,Yes,2021-01-07,2020-09-09,2374.0,1832.0,2374.0,2374.0
2123,River High School,3904865,9,12,0.0,3.0,0,MONROE,207.0,Switzerland of Ohio Local School Dist,Woodsfield,2374.0,2020-09-08,Other,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed 6-14 days,Yes,2021-01-07,2020-09-09,2374.0,1832.0,2374.0,2374.0
2124,Skyvue Elementary School,3904865,PK,8,0.0,1.0,0,MONROE,222.0,Switzerland of Ohio Local School Dist,Woodsfield,2374.0,2020-09-08,Other,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed 6-14 days,Yes,2021-01-07,2020-09-09,2374.0,1832.0,2374.0,2374.0
2125,Woodsfield Elementary School,3904865,PK,8,0.0,1.0,0,MONROE,436.0,Switzerland of Ohio Local School Dist,Woodsfield,2374.0,2020-09-08,Other,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed 6-14 days,Yes,2021-01-07,2020-09-09,2374.0,1832.0,2374.0,2374.0
2126,Monroe Central High School,3904865,9,12,0.0,3.0,0,MONROE,244.0,Switzerland of Ohio Local School Dist,Woodsfield,2374.0,2020-09-08,Other,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed 6-14 days,Yes,2021-01-07,2020-09-09,2374.0,1832.0,2374.0,2374.0
2127,Powhatan Elementary School,3904865,PK,8,0.0,1.0,0,BELMONT,178.0,Switzerland of Ohio Local School Dist,Woodsfield,2374.0,2020-09-08,Other,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Unknown,Yes,Closed 6-14 days,Yes,2021-01-07,2020-09-09,2374.0,178.0,2374.0,11695.0
2128,Brookville High School,3904867,9,12,0.0,3.0,0,MONTGOMERY,443.0,Brookville Local Schools,Brookville,1595.0,2020-08-19,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-08,2020-08-26,1595.0,1513.0,1595.0,59298.0
2129,Brookville Intermediate School,3904867,4,8,0.0,2.0,0,MONTGOMERY,587.0,Brookville Local Schools,Brookville,1595.0,2020-08-19,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-08,2020-08-26,1595.0,1513.0,1595.0,59298.0
2130,Brookville Elementary School,3904867,PK,3,0.0,1.0,0,MONTGOMERY,483.0,Brookville Local Schools,Brookville,1595.0,2020-08-19,On Premises,Yes,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,2021-01-08,2020-08-26,1595.0,1513.0,1595.0,59298.0
2131,Blairwood Elementary School,3904868,PK,6,0.0,1.0,0,MONTGOMERY,216.0,Jefferson Township Local School District,Dayton,405.0,2020-09-08,Hybrid,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,2020-12-14,2020-09-09,405.0,366.0,405.0,59298.0
2132,Jefferson High School,3904868,7,12,0.0,3.0,0,MONTGOMERY,150.0,Jefferson Township Local School District,Dayton,405.0,2020-09-08,Hybrid,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,2020-12-14,2020-09-09,405.0,366.0,405.0,59298.0
